VIDEO_IDENTIFIER,USER_IDENTIFIER,ANIMATION,ADDED_TEXT,MUSICAL_SCORE,LANGUAGE_SPOKEN,LANGUAGE_OF_TEXT,EVENT_NUMBER,EVENT_CATEGORY,RELATION_TO_EVENT,AGREEMENT_ON_RELATION,AVG_ANNOTATOR_CONFIDENCE,NEG_CONFIRMATION,SET
036988527a252c62538284d23cc545,11b8feb8571d16a624eaeb1a835abe74,N,N,N,English,None,Ev102,Flash_Mob,Positive,Full,2,N/A,Training
040857c553fc7b8ec9028c883cb4a4,e8311d16045e51bd3dd72dde495c0e41,N,N,N,English,None,Ev102,Flash_Mob,Positive,Partial,2.5,N/A,Training
06152e7f565b28bfb020ef32987b,03f3dbf060df294eba5b0fb722afaafa,N,N,N,English,None,Ev105,Person_Attempting_a_Board_Trick,Positive,Full,3,N/A,Training
0751adafcd9c76381357042317d1d9,11b9b45eaf577c99ff481bf3efac33a5,N,N,N,English,None,Ev110,Working_on_a_Woodworking_Project,Positive,Full,1.67,N/A,Test
0a5e1a3f9ca2b8798f6b392c9525d60,78f35d2c84f78b1c429c236b1424c08e,N,N,N,English,None,Ev107,Person_Hand-Feeding_an_Animal,Positive,Full,3,N/A,Training
0abf7aad12c861674f2df45c236c32,c941a5e8e007fe6347487ee341ba1062,N,N,N,English,None,Ev101,Birthday_Party,Positive,Full,3,N/A,Test
0d8e95ae5cf8db242f15ec9d06c7d1e,e4b620650a87df3cc877cb2baf39748d,N,N,N,English,None,Ev107,Person_Hand-Feeding_an_Animal,Positive,Full,3,N/A,Training
0e27247ad9b3a1d11d2cff5d2b3f658,0bdf9f240e0c9b7f1d9a37697712f261,N,N,N,English,None,Ev107,Person_Hand-Feeding_an_Animal,Positive,Full,3,N/A,Test
1039a3504a1b69508b718e46e44f68,c62cdbbf344b9a961161dd5051e6281d,N,N,N,Non-English,None,Ev109,Wedding_Ceremony,Positive,Full,3,N/A,Test
104b165af53eedc2d1af776736d43188,79e28186604a38df56b8c2298ef19b24,N,N,N,English,None,Ev102,Flash_Mob,Positive,Full,1.33,N/A,Training
1053dd1277bfe2aafc1f1d5f14f39def,0675daa0abd544c09fc0dc3c537c3468,N,N,N,English,None,Ev104,Parade,Positive,Full,3,N/A,Test
10645693571bdebac101baea744e9d,430e242956f3e59bd2d3350b46f99b3c,N,N,N,English,None,Ev103,Getting_a_Vehicle_Unstuck,Positive,Full,3,N/A,Training
1064ce62e0f9d811e5dc7b90714f238,629775f7c378f917a51173576f5f990c,N,N,N,English,None,Ev101,Birthday_Party,Positive,Full,3,N/A,Training
10ad622eb6b789b73069f8a3bc1a9a,f71495fbecc344fd06af6795a2d11a60,N,N,N,English,None,Ev104,Parade,Positive,Full,3,N/A,Test
10dba41f18a0a8a33f51d1623f1e74ca,6c536cc4509fdd9e7ce2a884dd88155b,N,N,N,English,None,Ev108,Person_Landing_a_Fish,Positive,Full,3,N/A,Training
1123e63450363fa11b7163bc21f5a70,213b14243a42b9ef029d46cb372e7739,N,N,N,English,None,Ev104,Parade,Positive,Full,3,N/A,Training
1127e4669e43c6c81c5d4fb347f572,04979cbdbd6831a1df8a6b346b54c39c,N,N,N,English,None,Ev103,Getting_a_Vehicle_Unstuck,Positive,Full,3,N/A,Test
114279d2168e938d5ae5426113267926,9721c87fcb43bd6702dd5d7baf0b197a,N,N,N,English,None,Ev101,Birthday_Party,Positive,Full,3,N/A,Test
11428ab6afef987c376068f118227795,6b1d3eb42b50edc3808d323b1c7ef17c,N,N,N,English,None,Ev104,Parade,Positive,Full,3,N/A,Training
11c4fa1cdb6b4f61c2555238dc9cc,51423fa8b8420b9dc03ae31cd7aedc81,N,N,N,English,None,Ev101,Birthday_Party,Positive,Full,3,N/A,Training
11fadc748a35965739378a9a3f674b,c0cb6c2bb8311ee52ea59ede7ee1b428,N,N,N,Non-English,None,Ev106,Person_Grooming_an_Animal,Positive,Full,2,N/A,Training
123ee0efdb79323feeebd656902f724c,784797c48d97f34c5349d9f7d2f791c0,N,N,N,English,None,Ev108,Person_Landing_a_Fish,Positive,Full,3,N/A,Test
1263deb7ee1c44c2606bf56e8898720,3b1d9ac0b9a260faa72c31d79e3f1389,N,N,N,English,None,Ev106,Person_Grooming_an_Animal,Positive,Full,3,N/A,Training
